Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CC_ServiceTestSuitewithDiffGatewayTestSuite,Firefox 56.0,,2017-11-26 00:19:21,2017-11-26 00:26:35,7m - 13.430s,PASSED
,,,,,,
Test Cases/Service/CreditCardRegression/TC001_Service_CreditCard - Iteration 1,Firefox 56.0,"Objective:\nTo Test Credit Card Service Order with two different Gateways (PUBLIC AND GLOBAL)\n\nPre-requisites:\n\n\""Credit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.\nIn the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\""\n\nSteps_Service Credit Card Invoicing :\n\n\""Book a Service Order with Mode of Payment - 'Credit Card'.\nAdd Parts/Labor/Others lines.\nRelease the Service Order.\nBook Actual Cost.\nCost and Invoice the Order.\nEnter Credit Card details for GlobalOnePay card 5100270000000007 and CVV 214.\nClick 'Process' in the Credit Card Interface session.\""\n\nExpected Result:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\n\n",2017-11-26 00:19:22,2017-11-26 00:23:00,3m - 37.871s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:19:23,2017-11-26 00:20:16,53.784s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:20:16,2017-11-26 00:20:41,24.539s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:20:41,2017-11-26 00:21:17,35.659s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:21:17,2017-11-26 00:22:21,1m - 4.335s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:22:21,2017-11-26 00:22:28,6.871s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:22:28,2017-11-26 00:23:00,31.937s,PASSED
,,,,,,
Test Cases/Service/CreditCardRegression/TC001_Service_CreditCard - Iteration 2,Firefox 56.0,"Objective:\nTo Test Credit Card Service Order with two different Gateways (PUBLIC AND GLOBAL)\n\nPre-requisites:\n\n\""Credit Card Payment Gateway related setup should be done in the test company for all three Payment Gateways - FreedomPay, GlobalOnePay and JDF.\nIn the 'Payment Gateway Details' (xiext6100m000) session, Business Parameter field should contain B. P. code.\""\n\nSteps_Service Credit Card Invoicing :\n\n\""Book a Service Order with Mode of Payment - 'Credit Card'.\nAdd Parts/Labor/Others lines.\nRelease the Service Order.\nBook Actual Cost.\nCost and Invoice the Order.\nEnter Credit Card details for GlobalOnePay card 5100270000000007 and CVV 214.\nClick 'Process' in the Credit Card Interface session.\""\n\nExpected Result:\nTwo invoices should get generated in the 'Open Entries' (tfacr2520m000) session - One against Order B.P. and one against Payment Gateway B.P. maintained in the 'Payment Gateway Details' (xiext6100m000) session. Invoice Balance for Invoice against Order B.P. should be $0.\n\n\n",2017-11-26 00:23:00,2017-11-26 00:26:35,3m - 34.835s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:23:00,2017-11-26 00:23:53,53.360s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:23:53,2017-11-26 00:24:18,24.745s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:24:18,2017-11-26 00:24:53,35.437s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:24:53,2017-11-26 00:25:58,1m - 4.334s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:25:58,2017-11-26 00:26:04,6.657s,PASSED
callTestCase,Firefox 56.0,,2017-11-26 00:26:04,2017-11-26 00:26:35,30.287s,PASSED
